The Adventures of Swiss Family Robinson,/title/tt0222519/
Sleepers,/title/tt0117665/
Elle s'appelait Sarah,/title/tt1668200/
,
Solaris,/title/tt0069293/
" Frontiers of Faith,Anne Frank: The Diary of a Young Girl","/title/tt0268809/,/title/tt1605227/"
In Cold Blood,/title/tt0061809/
Love in the Time of Cholera,/title/tt0484740/
,
The Unbearable Lightness of Being,/title/tt0096332/
The Chronicles of Narnia: The Voyage of the Dawn Treader,/title/tt0980970/
,
American Psycho,/title/tt0144084/
Choke,/title/tt1024715/
,
Snow Falling on Cedars,/title/tt0120834/
Horton Hears a Who!,/title/tt0451079/
The Power of One,/title/tt0105159/
The Bourne Supremacy: On the Move with Jason Bourne,/title/tt5213980/
Nights in Rodanthe,/title/tt0956038/
Heidi,/title/tt3700392/
House of Sand and Fog,/title/tt0315983/
The Running Man,/title/tt0093894/
,
The Exorcist,/title/tt0070047/
,
America's Iliad: The Siege of Charleston,/title/tt1057484/
Four Hours at the Capitol,/title/tt15520020/
The Boy in the Striped Pajamas,/title/tt0914798/
Serial Killers: The Real Life Hannibal Lecters,/title/tt0365739/
Speak,/title/tt0378793/
A Midsummer Night's Dream,/title/tt0140379/
,
,
" Jackanory,Mrs. Frisby and the Rats of NIMH: Part 5 - Escape","/title/tt0177448/,/title/tt12252624/"
The Bonfire of the Vanities,/title/tt0099165/
The Tragedy of Macbeth,/title/tt10095582/
,
Captain Corelli's Mandolin,/title/tt0238112/
The Adventures of Huckleberry Finn,/title/tt0053571/
The Mountain Between Us,/title/tt2226597/
The Executioner's Song,/title/tt0083909/
,
The English Patient,/title/tt0116209/
Cold Mountain,/title/tt0159365/
Transformers: Rise of the Beasts,/title/tt5090568/
The Grapes of Wrath,/title/tt0032551/
Cloudy with a Chance of Meatballs,/title/tt0844471/
And Then There Were None,/title/tt3581932/
The Indian in the Cupboard,/title/tt0113419/
Persuasion,/title/tt13456318/
Needful Things,/title/tt0107665/
The Fault in Our Stars,/title/tt2582846/
,
Slaughterhouse-Five,/title/tt0069280/
The Book Thief,/title/tt0816442/
Fear and Loathing in Las Vegas,/title/tt0120669/
Flowers for Algernon,/title/tt0210044/
,
Nick and Norah's Infinite Playlist,/title/tt0981227/
The Phantom of the Opera,/title/tt0293508/
,
Jumper,/title/tt0489099/
The Rainmaker,/title/tt0119978/
,
Children of Men: Visions of the Future,/title/tt0934813/
"Girl, Interrupted",/title/tt0172493/
Peter Pan,/title/tt0316396/
The Perks of Being a Wallflower,/title/tt1659337/
The Maze Runner,/title/tt1790864/
The Thorn Birds,/title/tt0085101/
Brave New World,/title/tt9814116/
The Ice Road,/title/tt3758814/
,
Lincoln Rhyme: Hunt for the Bone Collector,/title/tt9307990/
Practical Magic,/title/tt0120791/
Into the Wild,/title/tt0758758/
Oliver Twist,/title/tt0380599/
Alice in Wonderland,/title/tt1014759/
Vampire Academy,/title/tt1686821/
The Island of Dr. Moreau,/title/tt0116654/
The Thief Lord,/title/tt0430674/
The Andromeda Strain,/title/tt0066769/
The Making of 'Runaway Jury',/title/tt0425220/
The Amityville Horror,/title/tt0384806/
Confessions of a Shopaholic,/title/tt1093908/
Contact,/title/tt0118884/
,
Starship Troopers,/title/tt0120201/
Jumanji,/title/tt0113497/
,
Wuthering Heights,/title/tt1238834/
The Client,/title/tt0109446/
James and the Giant Peach,/title/tt0116683/
Of Mice and Men,/title/tt0105046/
Brent Rivera: Skipping Christmas,/title/tt8310884/
The Lost World: Jurassic Park,/title/tt0119567/
The Prince of Tides,/title/tt0102713/
Congo,/title/tt0112715/
The Green Mile,/title/tt0120689/
,
The Bridges of Madison County,/title/tt0112579/
A Clockwork Orange,/title/tt0066921/
,
Tuck Everlasting,/title/tt0283084/
Watchmen,/title/tt0409459/
The Seeker: The Dark Is Rising,/title/tt0484562/
The Mortal Instruments: City of Bones,/title/tt1538403/
The Beach,/title/tt0163978/
Alice's Adventures in Wonderland and Through the Looking-Glass,/title/tt4446666/
Where the Red Fern Grows,/title/tt0072402/
The Help,/title/tt1454029/
The Handmaid's Tale,/title/tt5834204/
The Secret Life of Bees,/title/tt0416212/
Salem's Lot,/title/tt0079844/
The Cider House Rules,/title/tt0124315/
The NeverEnding Story,/title/tt0088323/
Fahrenheit 451,/title/tt0360556/
Firestarter,/title/tt1798632/
,
,
,
,
Avalon High,/title/tt1614950/
Of Love and Shadows,/title/tt0110712/
The Milagro Beanfield War,/title/tt0095638/
Immortal Beloved,/title/tt0110116/
Divergent,/title/tt1840309/
Pictures of Hollis Woods,/title/tt1057512/
Brick Lane,/title/tt0940585/
,
Thunderball: James Bond Follows Beatles in Filming in the Bahamas,/title/tt10985582/
,
,
,
War and Peace,/title/tt0063794/
How to Train Your Dragon,/title/tt0892769/
Ghost Stories,/title/tt5516328/
Fatherland,/title/tt0109779/
,
Flipped,/title/tt0817177/
A Home at the End of the World,/title/tt0359423/
A Good Year,/title/tt0401445/
" Darker Shades of Black,Stephen King's The Dark Tower Book 1 The Gunslinger Review","/title/tt14325646/,/title/tt14329342/"
,
The Woman in Black,/title/tt1596365/
The Strangers,/title/tt0482606/
The Personal History of David Copperfield,/title/tt6439020/
Pinocchio,/title/tt1488589/
Brideshead Revisited,/title/tt0083390/
,
The End of the Affair,/title/tt0172396/
Looking for Alibrandi,/title/tt0217629/
,
,
,
,
Miss Marple: The Body in the Library,/title/tt0088833/
movie_name,movie_link
,
